,label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min
854,3,76.18556276387602,38.171609632446135,89.89936867786729,63.79046759028223,45.53064328319194,148.83767020745705,89.95010416419129,89.16623495956212,108.37777936202403,154.19471178600003,18.647613951098286,16.31867623267985,19.358851315147977,20.13874064333648,3.2281989649244944,32.02331611266031,19.53384586530941,20.109247774787864,3.66482337929389,6.343947928641245,26.0,1.0,35.0,14.0,17.0,25.0,35.0,29.0,96.0,130.0
855,3,91.95170181251814,39.20375026722181,109.61065217059354,77.40539123618724,44.09273313075478,165.2105748039111,109.61308514915991,108.25891880061283,103.96940453104084,162.45912545109357,15.789766736446325,13.863913827925169,15.806815043158963,18.265081668964385,3.17150274080843,24.05522874529958,15.815406292746571,16.388547069505762,2.3429741707232803,5.2444509133616375,39.0,1.0,53.0,26.0,22.0,19.0,53.0,49.0,96.0,136.0
856,2,68.87919411527454,39.78247007360956,79.38466783183206,59.365125703420595,45.36420861582192,130.0736262892043,79.40777747901743,79.41086004571034,112.331712024891,148.71747460003456,16.370464820623063,15.478720977109402,16.885690176685323,17.104698723044958,3.3104769604641584,31.50119791590385,16.97602240206303,17.993351903408723,3.427881700964735,4.971920174243321,20.0,1.0,28.0,12.0,19.0,16.0,28.0,21.0,99.0,119.0
857,1,62.19509772005254,30.476336160681708,73.19642797004973,52.73836732861104,44.99545918882814,150.49699711498525,73.20628416834117,72.19985182025347,111.68020116523164,150.44584142521975,19.45205394099189,13.89736116488464,21.172330954968185,19.51507279025526,3.742190880019648,30.152681608039714,21.198967599335468,22.595732941888606,3.5785397955512006,6.484734682625196,7.0,1.0,9.0,4.0,6.0,4.0,9.0,6.0,100.0,124.0
858,1,60.085597240189735,25.571014188246693,72.10321317436453,49.699223803363516,45.012621936295936,167.97990163514098,72.10497301959138,70.43170401967298,110.37495775205996,152.2026327750778,20.73629517626093,14.124003133977011,22.89034823728658,20.277119666664113,3.2413733652568704,29.82553527143068,22.892707147870667,24.28126077183689,3.7838776169063464,6.95425473919476,9.0,1.0,11.0,2.0,15.0,4.0,11.0,7.0,94.0,112.0
859,2,69.81071220081728,28.80844834475763,84.78935078501858,56.009532368574675,45.5675868743663,169.2329861431161,84.79076412572587,83.30792392540019,106.58925553814484,156.52597781669584,9.955333302948825,7.548602849041972,10.764762919692235,10.226519751478675,1.8246988207638106,16.70316457152466,10.770091556935865,11.203407062714222,1.8209770215082532,3.3410828853402426,15.0,1.0,22.0,4.0,5.0,45.0,22.0,14.0,97.0,133.0
860,3,80.3299290861754,38.02263344888595,95.10372405460221,67.42446167345119,44.669445203607545,154.6609297909984,95.10386070395995,94.36724874498353,107.0546957034565,156.8564246774356,11.755119244322634,10.911723288689446,12.243289270422236,11.989020211711672,2.1343592714436084,19.63861911983839,12.243968043013801,12.656493863144092,1.7976229675376245,2.9709142791405623,38.0,2.0,46.0,25.0,23.0,23.0,46.0,43.0,99.0,134.0
861,1,70.56751835929413,25.13068573135129,84.1808953733361,61.225761469230676,42.031890729948785,182.2002837622243,84.21981829474736,83.36643080707822,108.89676778994288,158.25727977981026,17.88114104657199,15.632339997469057,18.806262445958637,18.544171416227783,3.6996142495462148,30.211339990804756,18.848563735893226,19.805799499832936,3.0441823965697714,5.787601595940932,6.0,1.0,9.0,3.0,3.0,1.0,9.0,6.0,96.0,109.0
862,2,79.6294514757885,29.78627608585633,96.5434104466061,65.4149888675898,44.08832704282704,178.2619807355725,96.55719796640037,95.02480086678017,104.64236388098442,161.15967567181417,13.359009748812849,11.586773444044132,13.791282689132707,14.361227548978983,2.0131733637460263,21.420803574687362,13.847460547992409,14.32670339682366,2.2825432638583076,3.5480696736256974,25.0,1.0,31.0,18.0,18.0,44.0,31.0,26.0,95.0,139.0
863,2,84.8104121018312,33.798044337989985,100.82555255071492,72.81116879527823,42.81445876678708,170.47069622377072,100.84758877988116,99.90016252459253,105.96791619784572,161.45169992827863,16.57842879967658,11.40486824157985,17.539039586385577,18.293866212032565,2.8570455970438986,19.961240752504736,17.600486232175403,18.082679045345248,2.936261336700747,5.504530789366888,14.0,1.0,18.0,11.0,18.0,22.0,18.0,11.0,96.0,131.0
